
                             ms010-mesh0025-ti                                                                                                                  
                  X               mefiled         ms04-mesh0025       ms04-mesh010       ms04-mesh015      ms04-meshorig      ms07-mesh0025           orig      

                0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
               75.0031E-06         0.                -2.40396E+03        0.                 0.                 0.                -1.34461E+03        0.         
               75.2413E-06        -4.89426           -2.4116E+03         0.                 0.                 0.                -1.34889E+03       -4.89426    
               75.4245E-06        -8.65613           -2.41747E+03      -10.8004             0.                 0.                -1.35217E+03       -8.65613    
               76.0803E-06       -22.1266            -2.43849E+03      -49.4745           -32.8538             0.                -1.36393E+03      -22.1266     
              150.002E-06         -1.54052E+03       -4.80778E+03       -4.40882E+03       -3.73614E+03       -4.07913E+03       -2.68915E+03       -1.54052E+03
              150.033E-06         -1.54089E+03       -4.80877E+03       -4.41064E+03       -3.73769E+03       -4.08083E+03       -2.68971E+03       -1.54089E+03
              150.109E-06         -1.54182E+03       -4.81122E+03       -4.40839E+03       -3.74151E+03       -4.08504E+03       -2.69107E+03       -1.54182E+03
              150.262E-06         -1.54369E+03       -4.81613E+03       -4.40386E+03       -3.7492E+03        -4.09351E+03       -2.68983E+03       -1.54369E+03
              150.385E-06         -1.54518E+03       -4.82005E+03       -4.40025E+03       -3.75533E+03       -4.08732E+03       -2.68883E+03       -1.54518E+03
              150.423E-06         -1.54564E+03       -4.82127E+03       -4.39914E+03       -3.75552E+03       -4.0854E+03        -2.68852E+03       -1.54564E+03
              225.002E-06         -2.45303E+03      -16.2274E+03        -2.19802E+03       -4.12524E+03     -311.169             -2.08224E+03       -2.45303E+03
              225.343E-06         -2.45521E+03      -16.2795E+03        -2.18797E+03       -4.12692E+03     -293.935             -2.07947E+03       -2.45521E+03
              225.951E-06         -2.4591E+03       -16.3725E+03        -2.17002E+03       -4.13415E+03     -263.159             -2.07452E+03       -2.4591E+03 
              226.145E-06         -2.46035E+03      -16.4021E+03        -2.17563E+03       -4.13645E+03     -253.342             -2.07295E+03       -2.46035E+03
              300.E-06            -2.93328E+03      -27.6975E+03        -4.31192E+03       -5.01384E+03       -4.67851E+03       -1.47255E+03       -2.93328E+03
              300.078E-06         -2.93351E+03      -27.7094E+03        -4.31418E+03       -5.01476E+03       -4.68318E+03       -1.47191E+03       -2.93351E+03
