	material	depth	vc	rake_angle	clearance_angle	expected_cut_force	A	B	C	n	m	d1	d2	d3	d4	d5	densidade	young_modulus	poisson_coef
0	AISI_1045	0.25	1000	-7	5	261.158856201172	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
1	AISI_1045	0.25	1000	-4	5	232.76336364746098	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
2	AISI_1045	0.25	1000	-1	5	209.3996337890626	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
3	AISI_1045	0.25	1000	2	5	215.3711395263672	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
4	AISI_1045	0.25	1000	5	5	222.34537048339863	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
5	AISI_1045	0.25	1000	8	5	201.72747802734378	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
6	AISI_1045	0.25	1000	11	5	189.16541748046902	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
7	AISI_1045	0.25	1000	14	5	205.45464782714822	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
8	AISI_1045	0.25	1500	-10	5	242.11509704589838	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
9	AISI_1045	0.25	1500	-7	5	237.22890014648436	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
10	AISI_1045	0.25	1500	-4	5	219.91886901855483	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
11	AISI_1045	0.25	1500	-1	5	212.98092651367202	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
12	AISI_1045	0.25	1500	2	5	221.19473266601557	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
13	AISI_1045	0.25	1500	5	5	215.58366394042977	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
14	AISI_1045	0.25	1500	8	5	198.40823059082038	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
15	AISI_1045	0.25	1500	11	5	198.5690216064452	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
16	AISI_1045	0.25	1500	14	5	181.2003204345706	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
17	AISI_1045	0.25	2000	-10	5	201.6900604248048	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
18	AISI_1045	0.25	2000	-7	5	244.48069458007822	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
19	AISI_1045	0.25	2000	-4	5	211.27478027343759	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
20	AISI_1045	0.25	2000	-1	5	206.04336547851557	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
21	AISI_1045	0.25	2000	2	5	223.87263488769523	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
22	AISI_1045	0.25	2000	5	5	220.82876281738277	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
23	AISI_1045	0.25	2000	8	5	211.15458679199202	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
24	AISI_1045	0.25	2000	11	5	204.9964508056642	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
25	AISI_1045	0.25	2000	14	5	196.7077331542968	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
26	AISI_1045	0.25	2500	-10	5	266.0552978515626	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
27	AISI_1045	0.25	2500	-7	5	231.22801513671862	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
28	AISI_1045	0.25	2500	-4	5	222.6274108886718	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
29	AISI_1045	0.25	2500	-1	5	232.36978149414057	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
30	AISI_1045	0.25	2500	2	5	233.4659240722658	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
31	AISI_1045	0.25	2500	5	5	208.0809722900392	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
32	AISI_1045	0.25	2500	8	5	204.93031311035162	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
33	AISI_1045	0.25	2500	11	5	201.693359375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
34	AISI_1045	0.25	2500	14	5	199.20937805175782	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
35	AISI_1045	0.25	3000	-10	5	263.58831787109386	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
36	AISI_1045	0.25	3000	-7	5	236.445361328125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
37	AISI_1045	0.25	3000	-4	5	225.41651000976557	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
38	AISI_1045	0.25	3000	-1	5	218.15081481933598	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
39	AISI_1045	0.25	3000	2	5	222.92994689941415	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
40	AISI_1045	0.25	3000	5	5	207.5186157226564	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
41	AISI_1045	0.25	3000	8	5	199.80012207031263	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
42	AISI_1045	0.25	3000	11	5	199.5578216552734	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
43	AISI_1045	0.25	3000	14	5	202.1871887207032	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
44	AISI_1045	0.25	3500	-10	5	265.3877288818358	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
45	AISI_1045	0.25	3500	-7	5	252.47536926269518	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
46	AISI_1045	0.25	3500	-4	5	227.4697021484376	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
47	AISI_1045	0.25	3500	-1	5	218.4079833984374	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
48	AISI_1045	0.25	3500	2	5	203.3972076416016	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
49	AISI_1045	0.25	3500	5	5	211.7288940429688	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
50	AISI_1045	0.25	3500	8	5	205.86772766113282	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
51	AISI_1045	0.25	3500	11	5	201.11768493652363	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
52	AISI_1045	0.25	3500	14	5	199.41338500976582	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
53	AISI_1045	0.25	4000	-10	5	257.08352966308604	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
54	AISI_1045	0.25	4000	-7	5	256.6970245361328	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
55	AISI_1045	0.25	4000	-4	5	232.7394104003904	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
56	AISI_1045	0.25	4000	-1	5	202.67862854003903	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
57	AISI_1045	0.25	4000	2	5	221.59642028808622	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
58	AISI_1045	0.25	4000	5	5	209.1836791992188	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
59	AISI_1045	0.25	4000	8	5	197.24166259765622	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
60	AISI_1045	0.25	4000	11	5	200.07742309570318	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
61	AISI_1045	0.25	4000	14	5	196.7248016357424	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
62	AISI_1045	0.25	4500	-10	5	263.6263275146484	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
