iter	RMSE
0	10438.8576811	10230.14622
2	10038.68073
3	9860.545955
4	9644.208869
5	9448.424691
6	9257.513248
7	9055.680471
8	8882.513151
9	8721.933695
10	8540.627791
11	8375.16167
12	8209.690923
13	8048.390918
14	7890.043339
15	7746.708644
16	7609.902237
17	7463.831075
18	7317.354917
19	7192.744904
20	7063.83535
21	6946.486987
22	6825.819789
23	6700.386705
24	6583.00272
25	6482.134952
26	6367.859071
27	6266.55919
28	6166.677837
29	6056.850849
30	5957.277094
31	5853.089617
32	5760.566
33	5679.271995
34	5588.458557
35	5499.224326
36	5413.346439
37	5335.161361
38	5248.005025
39	5172.029296
40	5087.801946
41	5004.198587
42	4927.007357
43	4853.206087
44	4776.877213
45	4702.008677
46	4633.83483
47	4582.029534
48	4519.512892
49	4457.497985
50	4400.499562
51	4342.324057
52	4288.810128
53	4238.614597
54	4179.914029
55	4128.454916
56	4081.166319
57	4035.118606
58	3988.073009
59	3940.488508
60	3898.456914
61	3857.817912
62	3819.920742
63	3784.698197
64	3749.294207
65	3713.179769
66	3677.206759
67	3638.089164
68	3601.20785
69	3572.688266
70	3539.408718
71	3509.034175
72	3474.408216
73	3440.003574
74	3414.39071
75	3385.987312
76	3361.354566
77	3340.119068
78	3316.507306
79	3293.733318
80	3272.875942
81	3253.823339
82	3230.21564
83	3205.8453
84	3182.208654
85	3162.241534
86	3139.845964
87	3117.817724
88	3096.393158
89	3069.52574
90	3053.364591
91	3033.828573
92	3018.305669
93	3001.668372
94	2981.845745
95	2968.140157
96	2947.649336
97	2935.536346
98	2919.432932
99	2904.445645
100	2887.515547
101	2869.985825
102	2856.335735
103	2839.827269
104	2830.121911
105	2814.501289
106	2802.139853
107	2791.820375
108	2781.562207
109	2769.572809
110	2760.925906
111	2752.476871
112	2741.538956
113	2730.714929
114	2719.706302
115	2709.503165
116	2699.541004
117	2691.797095
118	2680.77707
119	2673.506219
120	2665.426704
121	2656.05846
122	2648.662951
123	2643.916289
124	2635.735445
125	2628.007363
126	2623.441635
127	2615.92789
128	2608.437901
129	2599.869378
130	2593.205374
131	2589.50843
132	2584.491573
133	2577.167089
134	2570.288064
135	2564.442772
136	2559.603886
137	2552.901717
138	2549.218024
139	2540.57576
140	2534.740248
141	2531.011995
142	2524.187974
143	2519.536659
144	2513.992881
145	2508.586984
146	2503.062922
147	2499.826228
148	2495.936794
149	2492.222735
150	2490.322928
151	2486.745355
152	2481.864401
153	2476.378279
154	2470.183039
155	2466.683853
156	2462.885833
157	2457.334589
158	2453.278259
159	2450.773754
160	2446.590347
161	2442.219972
162	2439.113904
163	2437.293664
164	2433.210677
165	2428.073837
166	2426.629862
167	2421.534258
168	2418.567596
169	2415.199166
170	2413.619825
171	2408.987434
172	2403.874967
173	2398.910452
174	2395.21199
175	2392.32361
176	2389.746751
177	2386.864585
178	2384.947968
179	2380.488353
180	2376.117382
181	2372.969187
182	2370.666619
183	2366.776584
184	2363.668384
185	2358.655215
186	2355.552522
187	2353.372399
188	2350.020681
189	2346.499832
190	2345.77861
191	2341.624498
192	2339.166197
193	2335.821234
194	2332.194308
195	2328.38192
196	2325.560509
197	2322.594526
198	2320.446173
199	2317.77363
200	2314.736788
201	2309.637871
202	2305.469133
203	2302.105195
204	2299.516654
205	2297.439364
206	2295.889657
207	2292.8507
208	2290.898039
209	2290.121435
210	2288.172532
211	2285.32099
212	2283.857761
213	2281.955627
214	2280.239858
215	2278.737227
216	2275.282788
217	2273.388728
218	2270.296863
219	2268.769455
220	2265.153596
221	2260.852361
222	2257.45066
223	2254.173343
224	2250.364197
225	2248.454531
226	2245.21057
227	2243.626997
228	2241.658501
229	2238.718972
230	2235.670742
231	2233.07419
232	2231.245284
233	2228.401558
234	2226.158864
235	2225.163206
236	2222.993481
237	2221.06304
238	2219.868611
239	2216.743732
240	2214.016035
241	2211.993926
242	2210.844249
243	2208.37458
244	2206.229261
245	2203.987823
246	2202.65069
247	2200.84483
248	2199.938686
249	2198.389739
250	2196.392562
251	2193.867395
252	2192.435488
253	2191.4769
254	2188.421742
255	2185.97175
256	2184.215941
257	2182.56944
258	2180.730606
259	2178.939469
260	2177.644758
261	2176.053248
262	2175.174453
263	2174.133434
264	2172.506812
265	2170.773095
266	2168.061911
267	2167.260527
268	2165.870278
269	2165.096444
270	2164.056741
271	2163.385294
272	2161.664893
273	2160.930394
274	2159.919066
275	2157.848139
276	2156.755875
277	2154.674695
278	2153.160468
279	2150.721572
280	2148.881263
281	2147.577249
282	2147.233999
283	2146.002343
284	2145.008707
285	2144.407984
286	2143.992084
287	2143.429017
288	2141.805628
289	2141.143722
290	2140.13383
291	2139.704186
292	2139.115769
293	2137.087934
294	2136.556801
295	2136.002688
296	2135.381077
297	2132.981021
298	2131.928955
299	2130.310289
300	2129.158544
301	2127.469985
302	2127.022068
303	2126.344862
304	2125.811671
305	2125.267158
306	2124.82823
307	2123.980968
308	2123.257759
309	2121.24968
310	2120.693736
311	2118.386909
312	2116.703782
313	2115.649985
314	2114.993321
315	2114.371017
316	2112.912339
317	2110.997534
318	2108.795982
319	2106.708207
320	2104.882608
321	2104.206869
322	2102.621491
323	2100.877408
324	2099.89578
325	2099.331222
326	2097.544754
327	2097.127025
328	2096.557696
329	2094.855607
330	2094.158401
331	2093.112635
332	2092.626356
333	2090.976577
334	2090.518987
335	2090.041082
336	2089.591475
337	2089.170137
338	2088.649789
339	2086.576743
340	2085.738086
341	2084.722413
342	2084.38532
343	2082.817361
344	2081.560835
345	2080.214904
346	2079.440056
347	2078.053092
348	2077.079112
349	2075.912581
350	2075.125733
351	2074.17824
352	2073.420769
353	2073.052146
354	2072.689631
355	2071.792195
356	2070.924672
357	2069.485623
358	2068.678581
359	2067.92134
360	2067.550087
361	2067.229669
362	2066.411394
363	2066.074777
364	2065.220161
365	2064.412489
366	2063.343317
367	2061.897143
368	2060.70855
369	2060.026084
370	2059.663548
371	2058.823397
372	2058.502275
373	2057.549556
374	2057.302095
375	2057.011516
376	2056.711538
377	2055.950246
378	2055.080974
379	2054.743271
380	2054.438335
381	2054.103807
382	2053.217178
383	2052.421826
384	2051.449065
385	2051.176686
386	2050.378876
387	2049.050109
388	2048.324432
389	2047.102736
390	2046.785151
391	2046.046304
392	2045.305511
393	2044.741573
394	2043.995825
395	2043.449109
396	2043.005862
397	2042.210261
398	2041.509131
399	2041.318401
400	2040.549925
401	2039.735325
402	2038.600741
403	2037.659594
404	2037.059038
405	2036.41636
406	2036.090581
407	2035.315718
408	2034.904757
409	2034.632583
410	2033.990255
411	2033.476927
412	2032.321099
413	2030.976286
414	2030.465135
415	2029.871428
416	2028.763392
417	2028.070833
418	2027.42828
419	2027.256363
420	2026.772491
421	2026.511512
422	2026.269929
423	2026.037072
424	2024.956472
425	2024.217672
426	2023.188761
427	2022.954194
428	2022.336947
429	2022.105489
430	2021.39373
431	2020.780434
432	2019.89771
433	2019.46441
434	2018.707541
435	2018.01963
436	2017.091666
437	2016.808963
438	2015.879123
439	2015.655797
440	2015.106929
441	2014.534297
442	2014.388215
443	2013.93064
444	2013.711886
445	2013.08479
446	2012.328536
447	2011.408926
448	2010.896454
449	2010.483695
450	2009.817334
451	2009.303634
452	2008.852351
453	2008.35624
454	2007.781721
455	2007.503648
456	2007.093926
457	2006.404508
458	2005.452762
459	2004.996882
460	2004.740243
461	2004.326491
462	2003.82231
463	2003.064838
464	2002.60597
465	2001.869424
466	2001.229021
467	2001.096527
468	2000.737653
469	2000.268005
470	1999.818151
471	1999.071329
472	1998.869358
473	1998.465971
474	1997.806371
475	1997.131659
476	1996.686802
477	1996.125599
478	1995.340959
479	1995.094658
480	1994.666377
481	1994.137735
482	1993.515472
483	1992.999404
484	1992.554196
485	1992.062287
486	1991.437022
487	1990.945847
488	1990.772499
489	1990.263716
490	1990.010977
491	1989.448898
492	1988.90208
493	1988.768561
494	1988.288375
495	1988.158009
496	1987.753244
497	1987.101863
498	1986.964695
499	1986.308937
500	1985.89642
501	1985.394817
502	1985.007514
503	1984.537687
504	1984.137009
505	1984.004678
506	1983.876547
507	1983.377861
508	1983.01871
509	1982.766929
510	1982.301751
511	1981.843729
512	1981.716247
513	1981.592556
514	1981.144216
515	1980.803858
516	1980.415434
517	1980.004621
518	1979.786735
519	1979.375006
520	1979.004213
521	1978.737354
522	1978.612471
523	1978.242704
524	1977.963728
525	1977.538083
526	1977.267279
527	1976.942183
528	1976.458878
529	1975.965764
530	1975.720014
531	1975.118807
532	1974.747671
533	1974.474072
534	1974.196301
535	1973.842876
536	1973.241018
537	1973.148899
538	1972.959624
539	1972.825718
540	1972.494691
541	1972.072276
542	1971.806584
543	1971.697592
544	1971.406282
545	1971.099609
546	1970.927502
547	1970.760263
548	1970.214687
549	1970.022272
550	1969.674305
551	1969.571792
552	1969.112271
553	1968.622957
554	1968.302196
555	1968.138599
556	1967.888903
557	1967.578802
558	1967.219541
559	1966.874986
560	1966.665737
561	1966.42865
562	1965.987841
563	1965.652879
564	1965.425368
565	1965.143312
566	1964.816805
567	1964.331491
568	1964.242349
569	1964.137017
570	1963.823913
571	1963.342224
572	1963.106332
573	1962.751009
574	1962.405348
575	1962.287706
576	1961.986655
577	1961.85229
578	1961.59314
579	1961.499998
580	1961.178252
581	1960.848355
582	1960.360074
583	1960.02453
584	1959.755999
585	1959.134195
586	1959.021639
587	1958.938953
588	1958.897506
589	1958.695996
590	1958.388494
591	1958.00971
592	1957.570734
593	1957.18915
594	1956.859225
595	1956.737636
596	1956.329986
597	1955.979423
598	1955.772049
599	1955.687579
600	1955.566943
601	1955.437299
602	1955.241873
603	1955.029291
604	1954.810758
605	1954.551002
