iter	Passed	Remaining
0	3	3953
1	28	14028
2	38	12731
3	49	12342
4	54	10886
5	63	10574
6	74	10542
7	83	10298
8	90	10007
9	96	9522
10	101	9151
11	112	9251
12	127	9709
13	130	9177
14	134	8844
15	145	8931
16	155	8966
17	159	8719
18	163	8446
19	167	8183
20	170	7941
21	173	7728
22	178	7569
23	182	7401
24	185	7220
25	190	7126
26	192	6950
27	196	6807
28	199	6679
29	202	6540
30	205	6419
31	209	6329
32	211	6207
33	214	6101
34	222	6131
35	230	6172
36	234	6091
37	237	6022
38	241	5943
39	244	5864
40	248	5816
41	251	5740
42	255	5691
43	260	5658
44	266	5653
45	270	5617
46	276	5604
47	281	5576
48	283	5504
49	291	5535
50	293	5464
51	298	5440
52	311	5562
53	316	5544
54	320	5503
55	322	5428
56	324	5372
57	327	5317
58	330	5276
59	338	5297
60	343	5293
61	360	5456
62	366	5443
63	374	5478
64	376	5411
65	382	5408
66	391	5448
67	394	5412
68	397	5361
69	404	5367
70	429	5618
71	433	5588
72	456	5794
73	467	5847
74	479	5916
75	485	5898
76	498	5971
77	505	5980
78	516	6022
79	531	6110
80	537	6097
81	548	6135
82	566	6264
83	581	6337
84	586	6309
85	592	6296
86	599	6295
87	607	6293
88	616	6305
89	625	6327
90	633	6328
91	655	6472
92	670	6541
93	673	6491
94	690	6579
95	693	6528
96	706	6572
97	784	7216
98	820	7470
99	829	7466
100	832	7409
101	841	7407
102	844	7355
103	858	7394
104	862	7355
105	873	7364
106	875	7308
107	892	7367
108	952	7787
109	969	7847
110	974	7801
111	978	7755
112	985	7733
113	998	7756
114	1009	7772
115	1043	7953
116	1075	8113
117	1135	8486
118	1151	8527
119	1158	8497
120	1181	8585
121	1184	8524
122	1197	8540
123	1231	8697
124	1255	8785
125	1273	8833
126	1285	8837
127	1298	8846
128	1305	8815
129	1317	8814
130	1324	8787
131	1332	8764
132	1336	8712
133	1340	8661
134	1344	8614
135	1348	8565
136	1351	8513
137	1353	8456
138	1358	8412
139	1364	8381
140	1370	8347
141	1378	8332
142	1383	8290
143	1389	8260
144	1396	8231
145	1405	8221
146	1425	8274
147	1433	8251
148	1439	8219
149	1444	8185
150	1449	8152
151	1458	8136
152	1479	8190
153	1489	8182
154	1512	8244
155	1519	8223
156	1529	8211
157	1539	8206
158	1546	8180
159	1559	8188
160	1562	8140
161	1581	8179
162	1589	8164
163	1621	8263
164	1629	8246
165	1639	8235
166	1646	8212
167	1662	8232
168	1680	8261
169	1696	8280
170	1701	8247
171	1713	8248
172	1718	8215
173	1731	8217
174	1734	8176
175	1742	8157
176	1751	8142
177	1757	8114
178	1766	8103
179	1771	8071
180	1774	8028
181	1784	8020
182	1793	8005
183	1797	7970
184	1799	7928
185	1804	7897
186	1811	7874
187	1818	7856
188	1824	7827
189	1837	7834
190	1844	7812
191	1847	7773
192	1850	7736
193	1856	7714
194	1859	7678
195	1872	7680
