material,d1,d2,d3,d4,d5,var1,var2,var3,displacement,densidade,young_modulus,poisson_coef,A,B,n,m,var4,var5,C,var6
AA_1100,0.071,1.248,-1.142,0.147,1.,0.,0.,1.,0.01,2.7e-09,65760.,0.3,148.361,345.513,0.183,0.859,0.,0.,0.001,1.
AA_2024_T351,0.13,0.13,-1.5,0.011,0.,0.,0.,1.,0.01,2.7e-09,70000.,0.3,352.,440.,0.43,1.7,0.,0.,0.0083,0.00033
AA_5083_H116,0.0261,0.263,-0.349,0.247,16.8,0.,0.,1.,0.01,2.7e-09,70000.,0.3,167.,596.,0.859,0.551,0.,0.,0.001,1.
AA_5754_H11,-0.2,1.133,-0.229,0.0897,7.978,0.,0.,1.,0.01,2.7e-09,68000.,0.3,28.13,278.67,0.183,2.527,0.,0.,0.00439,0.1
AA_6061_T6,-0.77,1.45,-0.47,0.,1.6,0.,0.,1.,0.01,2.7e-09,68900.,0.33,324.,114.,0.42,1.34,0.,0.,0.002,1.
AA_6082_T6,0.0164,2.245,-2.798,0.007,3.65,0.,0.,1.,0.01,2.7e-09,70000.,0.3,201.55,250.87,0.206,1.31,0.,0.,0.00977,0.001
AA_7075_T6,-0.068,0.451,-0.952,0.036,0.697,0.,0.,1.,0.01,2.7e-09,65760.,0.3,546.,678.,0.71,1.56,0.,0.,0.024,0.0005
AA_7075_T651,0.096,0.049,-3.465,0.016,1.099,0.,0.,1.,0.01,2.7e-09,70000.,0.3,520.,477.,0.52,1.,0.,0.,0.001,1.
AISI_1020,0.05,3.44,-2.12,0.002,0.61,0.,0.,1.,0.01,2.7e-09,206000.,0.28,213.,53.,0.34,0.81,0.,0.,0.0055,0.004
AISI_1045,0.06,3.31,-1.96,0.0018,0.58,0.,0.,1.,0.01,2.7e-09,210000.,0.269,553.,600.,0.234,1.,0.,0.,0.0134,0.001
AISI_4340,0.05,3.44,-2.12,0.002,0.61,0.,0.,1.,0.01,2.7e-09,209000.,0.28,792.,510.,1.03,0.26,0.,0.,0.014,1.
AISI_4340_52_HRC,0.05,3.44,-2.12,0.002,0.61,0.,0.,1.,0.01,2.7e-09,222000.,0.29,1638.,1034.,0.46,1.003,0.,0.,0.0058,1.
ALUMINIO,0.071,1.248,-1.142,0.147,0.1,0.,0.,1.,0.01,7.87e-09,70000.,0.27,148.,341.,0.183,0.859,0.,0.,0.001,1.
AlSi10Mg,0.,0.873,-0.449,0.00147,0.8,0.,0.,1.,0.01,2.7e-09,72000.,0.33,167.,396.,0.859,0.551,0.,0.,0.001,1.
Armour_steel,0.05,0.8,-0.44,-0.046,0.,0.,0.,1.,0.01,2.7e-09,206040.,0.3,980.,2000.,0.83,1.4,0.,0.,0.0026,1.
AISI_4140,1.5,3.44,-2.12,0.002,0.1,0.,0.,1.,0.01,7.8e-09,210000.,0.3,595.,580.,0.133,1.03,0.,0.,0.023,1.
AISI_304,0.53,0.5,-6.8,-0.014,0.,0.,0.,1.,0.01,2.7e-09,209000.,0.28,310.,1000.,0.65,1.,0.,0.,0.07,0.1
AISI_52100,0.0368,2.34,-1.484,0.0035,0.411,0.,0.,1.,0.01,2.7e-09,222000.,0.29,774.78,134.,0.37,3.171,0.,0.,0.0018,1.
Ti6Al4V,-0.9,0.25,-0.5,0.014,3.87,0.,0.,1.,0.01,4.43e-09,113800.,0.342,460.,1450.,1.31,0.85,0.,0.,0.08,1.
