	material	depth	vc	rake_angle	clearance_angle	expected_cut_force	A	B	C	n	m	d1	d2	d3	d4	d5	densidade	young_modulus	poisson_coef
0	AISI_1045	0.5	3000	-10	5	6063.29853515625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
1	AISI_1045	0.5	3000	-7	5	4420.143505859376	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
2	AISI_1045	0.5	3000	-4	5	5492.38564453125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
3	AISI_1045	0.5	3000	-1	5	4820.06474609375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
4	AISI_1045	0.5	3000	2	5	3987.947656250002	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
5	AISI_1045	0.5	3000	5	5	4435.71669921875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
6	AISI_1045	0.5	3000	8	5	5418.53408203125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
7	AISI_1045	0.5	3000	11	5	5213.90830078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
8	AISI_1045	0.5	3000	14	5	5047.55849609375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
9	AISI_1045	0.5	3500	-10	5	6237.80009765625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
10	AISI_1045	0.5	3500	-7	5	5631.38837890625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
11	AISI_1045	0.5	3500	-4	5	5662.103125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
12	AISI_1045	0.5	3500	-1	5	5170.5982421875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
13	AISI_1045	0.5	3500	2	5	3822.69765625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
14	AISI_1045	0.5	3500	5	5	4713.530078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
15	AISI_1045	0.5	3500	8	5	5622.8458984375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
16	AISI_1045	0.5	3500	11	5	5358.16494140625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
17	AISI_1045	0.5	3500	14	5	4901.82119140625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
18	AISI_1045	0.5	4000	-10	5	5604.065966796876	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
19	AISI_1045	0.5	4000	-7	5	6221.1322265625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
20	AISI_1045	0.5	4000	-4	5	4113.684375000003	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
21	AISI_1045	0.5	4000	-1	5	5420.21552734375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
22	AISI_1045	0.5	4000	2	5	4545.643896484376	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
23	AISI_1045	0.5	4000	5	5	5625.77802734375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
24	AISI_1045	0.5	4000	8	5	5486.77841796875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
25	AISI_1045	0.5	4000	11	5	5503.0060546875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
26	AISI_1045	0.5	4000	14	5	4834.04619140625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
27	AISI_1045	0.5	4500	-10	5	5303.2505859375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
28	AISI_1045	0.5	4500	-7	5	5793.98349609375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
29	AISI_1045	0.5	4500	-4	5	4735.6650390625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
30	AISI_1045	0.5	4500	-1	5	4903.462548828125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
31	AISI_1045	0.5	4500	2	5	5558.14609375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
32	AISI_1045	0.5	4500	5	5	4004.96279296875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
33	AISI_1045	0.5	4500	8	5	5517.3228515625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
34	AISI_1045	0.5	4500	11	5	5373.6421875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
35	AISI_1045	0.5	4500	14	5	4560.44990234375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
36	AISI_1045	0.5	3000	-10	5	6269.60341796875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
37	AISI_1045	0.5	3000	-7	5	6015.0251953125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
38	AISI_1045	0.5	3000	-4	5	5437.079296875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
39	AISI_1045	0.5	3000	-1	5	4629.90205078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
40	AISI_1045	0.5	3000	2	5	3784.2881835937524	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
41	AISI_1045	0.5	3000	5	5	4389.470605468752	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
42	AISI_1045	0.5	3000	8	5	5370.78310546875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
43	AISI_1045	0.5	3000	11	5	5298.6892578125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
44	AISI_1045	0.5	3000	14	5	4427.531591796876	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
45	AISI_1045	0.5	3500	-10	5	6386.0431640625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
46	AISI_1045	0.5	3500	-7	5	4814.096240234377	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
47	AISI_1045	0.5	3500	-4	5	4658.77021484375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
48	AISI_1045	0.5	3500	-1	5	5069.862939453125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
49	AISI_1045	0.5	3500	2	5	4987.0638671875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
50	AISI_1045	0.5	3500	5	5	5651.12333984375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
51	AISI_1045	0.5	3500	8	5	5590.68955078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
52	AISI_1045	0.5	3500	11	5	5333.71015625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
53	AISI_1045	0.5	3500	14	5	4946.26611328125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
54	AISI_1045	0.5	4000	-10	5	4455.3431640625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
55	AISI_1045	0.5	4000	-7	5	4431.0890625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
56	AISI_1045	0.5	4000	-4	5	4589.528955078126	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
57	AISI_1045	0.5	4000	-1	5	3673.5388183593764	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
58	AISI_1045	0.5	4000	2	5	4001.3638671875024	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
59	AISI_1045	0.5	4000	5	5	5620.9873046875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
60	AISI_1045	0.5	4000	8	5	5515.86201171875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
61	AISI_1045	0.5	4000	11	5	5288.12783203125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
62	AISI_1045	0.5	4000	14	5	5258.8322265625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
63	AISI_1045	0.5	4500	-10	5	6241.26572265625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
64	AISI_1045	0.5	4500	-7	5	3984.3364257812523	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
65	AISI_1045	0.5	4500	-4	5	4805.21865234375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
66	AISI_1045	0.5	4500	-1	5	5661.69140625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
67	AISI_1045	0.5	4500	2	5	4410.801025390627	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
68	AISI_1045	0.5	4500	5	5	4015.305078125002	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
69	AISI_1045	0.5	4500	8	5	5426.8279296875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
70	AISI_1045	0.5	4500	11	5	5332.4333984375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
71	AISI_1045	0.5	4500	14	5	5140.815625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
72	AISI_1020	0.5	3000	-10	5	1013.7819702148448	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
73	AISI_1020	0.5	3000	-7	5	912.0248779296866	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
74	AISI_1020	0.5	3000	-4	5	928.1242553710941	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
75	AISI_1020	0.5	3000	-1	5	915.6287231445324	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
76	AISI_1020	0.5	3000	2	5	823.6106201171876	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
77	AISI_1020	0.5	3000	5	5	875.42900390625	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
78	AISI_1020	0.5	3000	8	5	1112.020361328126	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
79	AISI_1020	0.5	3000	11	5	1085.3808837890642	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
80	AISI_1020	0.5	3000	14	5	1055.5384399414063	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
81	AISI_1020	0.5	3500	-10	5	1102.9279296875022	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
82	AISI_1020	0.5	3500	-7	5	1005.3436279296872	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
83	AISI_1020	0.5	3500	-4	5	953.6115234374996	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
84	AISI_1020	0.5	3500	-1	5	959.6908081054684	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
85	AISI_1020	0.5	3500	2	5	725.4552856445314	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
86	AISI_1020	0.5	3500	5	5	966.1454711914073	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
87	AISI_1020	0.5	3500	8	5	892.1284423828126	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
88	AISI_1020	0.5	3500	11	5	1025.025842285156	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
89	AISI_1020	0.5	3500	14	5	1095.608227539064	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
90	AISI_1020	0.5	4000	-10	5	954.8135620117184	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
91	AISI_1020	0.5	4000	-7	5	924.9424682617197	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
92	AISI_1020	0.5	4000	-4	5	991.2095214843757	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
93	AISI_1020	0.5	4000	-1	5	934.4994995117197	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
94	AISI_1020	0.5	4000	2	5	783.01025390625	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
95	AISI_1020	0.5	4000	5	5	1005.7448730468775	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
96	AISI_1020	0.5	4000	8	5	1075.0543334960962	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
97	AISI_1020	0.5	4000	11	5	1163.925561523438	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
98	AISI_1020	0.5	4000	14	5	1090.219848632813	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
99	AISI_1020	0.5	4500	-10	5	982.9690551757809	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
100	AISI_1020	0.5	4500	-7	5	991.3256591796883	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
101	AISI_1020	0.5	4500	-4	5	969.9158203124998	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
102	AISI_1020	0.5	4500	-1	5	1046.4795776367187	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
103	AISI_1020	0.5	4500	2	5	751.7974243164068	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
104	AISI_1020	0.5	4500	5	5	1054.7313842773433	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
105	AISI_1020	0.5	4500	8	5	987.7468994140615	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
106	AISI_1020	0.5	4500	11	5	1029.9070434570326	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
107	AISI_1020	0.5	4500	14	5	1114.349633789064	213.0	53.0	0.0055	0.34	0.81	0.05	3.44	-2.12	0.002	0.61	2.7e-09	206000.0	0.28
108	AISI_1045	0.5	3000	-10	5	4916.19404296875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
109	AISI_1045	0.5	3000	-7	5	6208.5486328125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
110	AISI_1045	0.5	3000	-4	5	4497.15107421875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
111	AISI_1045	0.5	3000	-1	5	4691.11865234375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
112	AISI_1045	0.5	3000	2	5	5594.99697265625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
113	AISI_1045	0.5	3000	5	5	5570.53525390625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
114	AISI_1045	0.5	3000	8	5	5474.4568359375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
115	AISI_1045	0.5	3000	11	5	5348.63291015625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
116	AISI_1045	0.5	3000	14	5	5054.77919921875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
117	AISI_1045	0.5	3500	-10	5	6045.6701171875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
118	AISI_1045	0.5	3500	-7	5	5528.067919921876	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
119	AISI_1045	0.5	3500	-4	5	4532.93505859375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
120	AISI_1045	0.5	3500	-1	5	5086.08583984375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
121	AISI_1045	0.5	3500	2	5	4534.220654296876	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
122	AISI_1045	0.5	3500	5	5	5409.527734375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
123	AISI_1045	0.5	3500	8	5	5413.17119140625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
124	AISI_1045	0.5	3500	11	5	5221.243359375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
125	AISI_1045	0.5	3500	14	5	5393.805078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
126	AISI_1045	0.5	4000	-10	5	5977.834765625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
127	AISI_1045	0.5	4000	-7	5	5841.5138671875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
128	AISI_1045	0.5	4000	-4	5	5584.92578125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
129	AISI_1045	0.5	4000	-1	5	4412.726806640627	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
130	AISI_1045	0.5	4000	2	5	3924.161474609378	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
131	AISI_1045	0.5	4000	5	5	4314.752880859376	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
132	AISI_1045	0.5	4000	8	5	5525.7490234375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
133	AISI_1045	0.5	4000	11	5	5341.56337890625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
